@relation left_arm_all

@attribute idUSer numeric
@attribute timestamp numeric
@attribute code {la_lowered,la_T,la_raised,la_bended}
@attribute idJoint11 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute z11 numeric
@attribute a11 numeric
@attribute idJoint12 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute z12 numeric
@attribute a12 numeric
@attribute idJoint14 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute z14 numeric
@attribute a14 numeric

@data
1,1380043369119,la_lowered,11,-173.92967,243.26782,-34.187744,1.0,12,-173.92967,-70.27997,-34.187744,0.5,14,-173.92984,-383.82776,-34.187744,0.5
1,1380043369331,la_lowered,11,-166.69406,249.07391,-25.829102,1.0,12,-166.69424,-64.47391,-25.829102,0.5,14,-166.69441,-378.02176,-25.829102,0.5
1,1380043369558,la_lowered,11,-171.2257,241.49503,-49.738525,1.0,12,-171.22586,-72.052765,-49.738525,0.5,14,-171.22603,-385.60065,-49.738525,0.5
1,1380043369956,la_lowered,11,-175.44597,237.65308,-56.92212,1.0,12,-175.44597,-75.894775,-56.92212,0.5,14,-175.44632,-389.44263,-56.92212,0.5
1,1380043370269,la_lowered,11,-175.65652,236.00739,-63.550293,1.0,12,-175.65671,-77.540436,-63.550293,0.5,14,-175.65688,-391.08832,-63.550293,0.5
1,1380043370551,la_lowered,11,-173.85225,238.92969,-57.539795,1.0,12,-173.85225,-74.618164,-57.539795,0.5,14,-173.8526,-388.16595,-57.539795,0.5
1,1380043370776,la_lowered,11,-170.92758,239.67468,-63.058105,1.0,12,-170.92775,-73.87308,-63.058105,0.5,14,-170.92792,-387.42096,-63.058105,0.5
1,1380043371017,la_lowered,11,-169.16124,240.17407,-66.05737,1.0,12,-169.1614,-73.37375,-66.05737,0.5,14,-169.16158,-386.92154,-66.05737,0.5
1,1380043371255,la_lowered,11,-166.70251,243.42957,-59.8125,1.0,12,-166.7027,-70.118286,-59.8125,0.5,14,-166.70287,-383.66614,-59.8125,0.5
1,1380043371500,la_lowered,11,-166.28952,243.01648,-62.723877,1.0,12,-166.28969,-70.53134,-62.723877,0.5,14,-166.28986,-384.07916,-62.723877,0.5
1,1380043371732,la_lowered,11,-162.06108,248.23688,-52.010254,1.0,12,-162.06108,-65.310974,-52.010254,0.5,14,-162.06142,-378.85876,-52.010254,0.5
1,1380043371997,la_lowered,11,-159.9392,251.56787,-41.7229,1.0,12,-159.93936,-61.98001,-41.7229,0.5,14,-159.93954,-375.52783,-41.7229,0.5
1,1380043372225,la_lowered,11,-160.78665,250.92389,-41.999756,1.0,12,-160.78683,-62.6239,-41.999756,0.5,14,-160.787,-376.17175,-41.999756,0.5
1,1380043372476,la_lowered,11,-159.75839,250.75061,-47.2959,1.0,12,-159.75856,-62.79724,-47.2959,0.5,14,-159.75873,-376.3451,-47.2959,0.5
1,1380043372704,la_lowered,11,-155.49019,252.14978,-53.756836,1.0,12,-155.49019,-61.39798,-53.756836,0.5,14,-155.49052,-374.94577,-53.756836,0.5
1,1380043372960,la_lowered,11,-155.49019,252.14978,-53.756836,1.0,12,-155.49019,-61.39798,-53.756836,0.5,14,-155.49052,-374.94577,-53.756836,0.5
1,1380043373276,la_lowered,11,-152.45642,255.01465,-48.135498,1.0,12,-152.4566,-58.533203,-48.135498,0.5,14,-152.45677,-372.081,-48.135498,0.5
1,1380043373535,la_lowered,11,-151.8023,256.6477,-40.608887,1.0,12,-151.80247,-56.900177,-40.608887,0.5,14,-151.80264,-370.44794,-40.608887,0.5
1,1380043373812,la_lowered,11,-151.59575,256.62164,-42.0542,1.0,12,-151.59592,-56.926178,-42.0542,0.5,14,-151.5961,-370.474,-42.0542,0.5
1,1380043374039,la_lowered,11,-152.32442,255.95447,-44.00757,1.0,12,-152.32442,-57.593323,-44.00757,0.5,14,-152.32458,-371.1412,-44.00757,0.5
